LVS,@lasvegassands
LYV,@LiveNation
M,@macys
MA,@Mastercard
MAN,@ManpowerGroup
MAR,@marriott
MCD,@McDonalds
MCK,@McKesson
MDLZ,@MDLZ
MET,@metlife
MGLN,@MagellanHealth
MGM,@mgmresortsintl
MHK,@mhkgreenworks
MMC,@mmc_global
MMM,@3M
MO,@altrianews
MOH,@molinahealth
MON,@MonsantoCo
MOS,@mosaicscience
MPC,@marathonpetroco
MRK,@Merck
MS,@MorganStanley
MSFT,@microsoft
MSI,@MotoSolutions
MTB,@MandT_Bank
MU,@microntech
MUSA,@MurphyUSA
NCR,@NCRCorporation
NEE,@NextEraEnergyR
NEM,@Newmont
NFLX,@netflix
NKE,@Nike
NOC,@northropgrumman
NOV,@NOVGlobal
NRG,@nrgenergy
NSC,@nscorp
NSIT,@insightent
NTAP,@NetApp
NTRS,@TheNTGolf
NVDA,@nvidia
NWL,@newell_brands
NWSA,@newscorp
OC,@OwensCorning
ODP,@officedepot
OMC,@omnicom
OMI,@owens_minor
ON,@onsemi
ORCL,@Oracle
ORLY,@oreillyauto
OSK,@oshkoshbgosh
OXY,@oxy_petroleum
PAG,@penskesocial
PCG,@PGE4Me
PEG,@PSEGNews
PEP,@pepsi
PFE,@pfizer
PFG,@principal
PG,@proctergamble
PGR,@Progressive
PHM,@PulteHomes
PII,@PolarisInd
PKG,@packagingcorp
PM,@insidepmi
PNC,@pncbank
PPG,@ppg
PPL,@PPLCorp
PRU,@pfglender
PSX,@Phillips66Co
PVH,@PVHCorp
PWR,@quanta_services
PX,@PraxairInc
PXD,@PXDtweets
PYPL,@PayPal
QCOM,@qualcomm_latam
QRTEA,@QurateRetailGrp
R,@RyderSystemInc
RAD,@riteaid
REGN,@Regeneron
RF,@askRegions
RGA,@RGA_RE
RJF,@raymondjames
RL,@RalphLauren
RLGY,@Realogy
ROK,@rokautomation
RRD,@rrdonnelley
RSG,@RepublicService
RTN,@Raytheon
SAH,@SonicAutomotive
SANM,@sanminacorp
SBUX,@Starbucks
SCHW,@charlesschwab
SEE,@Sealed_Air
SHLD,@SearsHoldings
SHW,@sherwinwilliams
SJM,@smuckers
SNX,@SYNNEX
SO,@southerncompany
SPG,@SimonPropertyGp
SPGI,@SPGlobalRatings
SPR,@spiritaero
SRE,@SempraEnergy
STI,@SunTrust
STT,@StateStreet
STZ,@cbrands
SVU,@supervalupr
SWK,@StanleyBlkDeckr
SYF,@synchrony
SYK,@stryker_jobs
SYY,@Sysco
T,@ATT
TA,@TATravelCenters
TAP,@MolsonCoors
TECD,@tech_data
TEN,@tennecoam_emea
TGT,@Target
THC,@tenethealth
TJX,@tjmaxx
TMO,@thermofisher
TOL,@tollbrothersinc
TRV,@travelers
TSCO,@TractorSupply
TSLA,@Tesla
TSN,@tysonfoods
TWX,@WarnerMediaGrp
TXN,@TXInstruments
TXT,@textron
UAL,@united
UGI,@UGI_Utilities
